step,val_mse,val_regret,epoch,train_loss,test_mse,test_regret
1224,103.36051940917969,8.519371032714844,48,,,
1224,,,48,102.76966857910156,,
1249,103.088623046875,8.519371032714844,49,,,
1249,,,49,102.49400329589844,,
1274,102.82292175292969,8.519371032714844,50,,,
1274,,,50,102.21969604492188,,
1299,102.55381774902344,8.45321273803711,51,,,
1299,,,51,101.94564819335938,,
1324,102.27958679199219,8.439949035644531,52,,,
1324,,,52,101.67256927490234,,
1349,102.0182113647461,8.461348533630371,53,,,
1349,,,53,101.3988265991211,,
1374,101.7518081665039,8.369376182556152,54,,,
1374,,,54,101.124755859375,,
1399,101.48127746582031,8.317898750305176,55,,,
1399,,,55,100.85518646240234,,
1424,101.21572875976562,8.207956314086914,56,,,
1424,,,56,100.58289337158203,,
1449,100.94992065429688,8.190810203552246,57,,,
1449,,,57,100.31355285644531,,
1474,100.6932601928711,8.104466438293457,58,,,
1474,,,58,100.04241943359375,,
1499,100.42682647705078,8.017901420593262,59,,,
1499,,,59,99.77267456054688,,
1524,100.15850830078125,8.02629280090332,60,,,
1524,,,60,99.50524139404297,,
1549,99.90087890625,7.932354927062988,61,,,
1549,,,61,99.23539733886719,,
1574,99.6363754272461,7.937639236450195,62,,,
1574,,,62,98.96893310546875,,
1599,99.37287902832031,7.937639236450195,63,,,
1599,,,63,98.70100402832031,,
1624,99.11275482177734,7.937639236450195,64,,,
1624,,,64,98.43439483642578,,
1649,98.85034942626953,7.984270095825195,65,,,
1649,,,65,98.16898345947266,,
1674,98.72269439697266,7.984270095825195,66,,,
1674,,,66,97.96661376953125,,
1699,98.59130859375,7.984270095825195,67,,,
1699,,,67,97.8348159790039,,
1724,98.45977783203125,7.984270095825195,68,,,
1724,,,68,97.7018051147461,,
1749,98.33287811279297,8.034687042236328,69,,,
1749,,,69,97.56930541992188,,
1774,98.26704406738281,8.034687042236328,70,,,
1774,,,70,97.4679183959961,,
1799,98.20109558105469,8.034687042236328,71,,,
1799,,,71,97.4020767211914,,
1800,,,72,,108.42504119873047,8.478867530822754
