step,val_regret,epoch,val_mse,train_loss,test_regret,test_mse
0,19.54030418395996,0,134.48765563964844,,,
24,18.597644805908203,0,133.72996520996094,,,
24,,0,,143.1289520263672,,
49,17.75878143310547,1,132.98422241210938,,,
49,,1,,142.2895050048828,,
74,17.591800689697266,2,132.22483825683594,,,
74,,2,,141.46371459960938,,
99,17.384000778198242,3,131.4800262451172,,,
99,,3,,140.64151000976562,,
124,16.634597778320312,4,130.74282836914062,,,
124,,4,,139.82554626464844,,
149,16.183738708496094,5,130.0075225830078,,,
149,,5,,139.01800537109375,,
174,16.056804656982422,6,129.2767333984375,,,
174,,6,,138.2144012451172,,
199,15.981842041015625,7,128.55172729492188,,,
199,,7,,137.4123992919922,,
224,15.866198539733887,8,127.83023071289062,,,
224,,8,,136.61907958984375,,
249,15.574419975280762,9,127.11443328857422,,,
249,,9,,135.83033752441406,,
274,15.226956367492676,10,126.40206146240234,,,
274,,10,,135.0454559326172,,
299,15.09721565246582,11,125.69354248046875,,,
299,,11,,134.26829528808594,,
324,14.722980499267578,12,124.988525390625,,,
324,,12,,133.49679565429688,,
349,14.508454322814941,13,124.29119873046875,,,
349,,13,,132.72738647460938,,
374,14.477713584899902,14,123.59492492675781,,,
374,,14,,131.9660186767578,,
399,14.36091423034668,15,122.91382598876953,,,
399,,15,,131.20411682128906,,
424,14.069816589355469,16,122.22200012207031,,,
424,,16,,130.4550323486328,,
449,13.699289321899414,17,121.55203247070312,,,
449,,17,,129.69740295410156,,
474,13.319995880126953,18,120.88580322265625,,,
474,,18,,128.95578002929688,,
499,13.319995880126953,19,120.20093536376953,,,
499,,19,,128.22821044921875,,
524,13.244359016418457,20,119.53935241699219,,,
524,,20,,127.48324584960938,,
549,12.74032974243164,21,118.87565612792969,,,
549,,21,,126.75743865966797,,
574,12.421743392944336,22,118.22320556640625,,,
574,,22,,126.03062438964844,,
599,11.551111221313477,23,117.5690689086914,,,
599,,23,,125.31322479248047,,
624,11.412683486938477,24,116.919189453125,,,
624,,24,,124.5966796875,,
649,11.2000150680542,25,116.270751953125,,,
649,,25,,123.8863754272461,,
674,11.16375732421875,26,115.63067626953125,,,
674,,26,,123.17657470703125,,
699,11.210346221923828,27,114.99909210205078,,,
699,,27,,122.47346496582031,,
724,11.210346221923828,28,114.36724853515625,,,
724,,28,,121.781005859375,,
749,11.229819297790527,29,113.73103332519531,,,
749,,29,,121.09387969970703,,
774,11.075217247009277,30,113.1110610961914,,,
774,,30,,120.39541625976562,,
799,10.912954330444336,31,112.48479461669922,,,
799,,31,,119.72008514404297,,
824,10.330838203430176,32,111.86572265625,,,
824,,32,,119.03902435302734,,
849,10.391822814941406,33,111.25434875488281,,,
849,,33,,118.36231231689453,,
874,10.468815803527832,34,110.65283203125,,,
874,,34,,117.68788146972656,,
899,10.337835311889648,35,110.04434204101562,,,
899,,35,,117.03179931640625,,
924,10.3046875,36,109.4452133178711,,,
924,,36,,116.36347961425781,,
949,10.186627388000488,37,108.8584976196289,,,
949,,37,,115.7019271850586,,
974,10.139524459838867,38,108.25785064697266,,,
974,,38,,115.05723571777344,,
999,9.865270614624023,39,107.66870880126953,,,
999,,39,,114.40853881835938,,
1024,9.858878135681152,40,107.08638763427734,,,
1024,,40,,113.75834655761719,,
1049,9.640453338623047,41,106.50188446044922,,,
1049,,41,,113.12081909179688,,
1074,9.500741004943848,42,105.92143249511719,,,
1074,,42,,112.48492431640625,,
1099,9.483192443847656,43,105.35478210449219,,,
1099,,43,,111.84629821777344,,
1124,9.507022857666016,44,104.7796859741211,,,
1124,,44,,111.22415924072266,,
1149,9.336753845214844,45,104.21397399902344,,,
1149,,45,,110.59542083740234,,
1174,9.273059844970703,46,103.6462631225586,,,
1174,,46,,109.97594451904297,,
1199,9.24710750579834,47,103.09292602539062,,,
1199,,47,,109.35591888427734,,
1224,9.24710750579834,48,102.53024291992188,,,
1224,,48,,108.74569702148438,,
1249,9.176590919494629,49,101.97937774658203,,,
1249,,49,,108.13196563720703,,
1274,9.176590919494629,50,101.42794799804688,,,
1274,,50,,107.52919006347656,,
1299,9.1238374710083,51,100.87934875488281,,,
1299,,51,,106.92571258544922,,
1324,9.159626007080078,52,100.33793640136719,,,
1324,,52,,106.32637786865234,,
1349,9.183253288269043,53,99.79524230957031,,,
1349,,53,,105.7385482788086,,
1374,9.187185287475586,54,99.25984191894531,,,
1374,,54,,105.1416244506836,,
1399,9.187185287475586,55,98.72883605957031,,,
1399,,55,,104.55461883544922,,
1424,9.187185287475586,56,98.46188354492188,,,
1424,,56,,104.10966491699219,,
1449,9.187185287475586,57,98.19734191894531,,,
1449,,57,,103.81766510009766,,
1474,9.190733909606934,58,97.93212127685547,,,
1474,,58,,103.52935791015625,,
1499,9.152983665466309,59,97.66712951660156,,,
1499,,59,,103.2375259399414,,
1524,9.152983665466309,60,97.53658294677734,,,
1524,,60,,103.013916015625,,
1549,9.152983665466309,61,97.4046859741211,,,
1549,,61,,102.87030029296875,,
1550,,62,,,9.030020713806152,108.48173522949219
