epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,0,,,,14.042081832885742,0.03843631595373154
0,2,,,,14.083436965942383,0.007567255292087793
0,2,,,1013.3301391601562,,
1,5,,,,14.357564926147461,0.0003009146312251687
1,5,,,137.04832458496094,,
2,8,,,,14.56956958770752,0.001182703417725861
2,8,,,134.22540283203125,,
3,11,,,,14.722860336303711,0.006933336611837149
3,11,,,68.13679504394531,,
4,14,,,,14.803945541381836,0.006933336611837149
4,14,,,76.42745971679688,,
5,17,,,,14.861709594726562,0.0018348749727010727
5,17,,,41.20753479003906,,
6,20,,,,14.857281684875488,0.0
6,20,,,11.491802215576172,,
7,23,,,,14.873883247375488,0.0
7,23,,,20.16916275024414,,
8,26,,,,14.920671463012695,0.0
8,26,,,15.402385711669922,,
9,29,,,,14.977083206176758,0.0
9,29,,,6.6725850105285645,,
10,32,,,,15.024493217468262,0.0018348749727010727
10,32,,,0.0,,
11,35,,,,15.032995223999023,0.0018348749727010727
11,35,,,4.777332782745361,,
12,38,,,,15.02716064453125,0.0018348749727010727
12,38,,,3.8039913177490234,,
13,41,,,,15.01689338684082,0.0012506041675806046
13,41,,,2.2085635662078857,,
14,44,,,,14.999715805053711,0.0
14,44,,,0.70790696144104,,
15,47,,,,14.993337631225586,0.0
15,47,,,0.0,,
16,50,,,,14.988580703735352,0.0
16,50,,,0.0,,
17,53,,,,14.985025405883789,0.0
17,53,,,0.0,,
18,56,,,,14.982370376586914,0.0
18,56,,,0.0,,
19,59,,,,14.9813814163208,0.0
19,59,,,0.0,,
20,62,,,,14.980639457702637,0.0
20,62,,,0.0,,
21,65,,,,14.98008918762207,0.0
21,65,,,0.0,,
22,68,,,,14.97967529296875,0.0
22,68,,,0.0,,
23,71,,,,14.979524612426758,0.0
23,71,,,0.0,,
24,74,,,,14.979410171508789,0.0
24,74,,,0.0,,
25,77,,,,14.97932243347168,0.0
25,77,,,0.0,,
26,80,,,,14.979260444641113,0.0
26,80,,,0.0,,
27,83,,,,14.979235649108887,0.0
27,83,,,0.0,,
28,86,,,,14.979220390319824,0.0
28,86,,,0.0,,
29,89,,,,14.979207038879395,0.0
29,89,,,0.0,,
30,92,,,,14.97919750213623,0.0
30,92,,,0.0,,
31,95,,,,14.979192733764648,0.0
31,95,,,0.0,,
32,98,,,,14.9791898727417,0.0
32,98,,,0.0,,
33,101,,,,14.979188919067383,0.0
33,101,,,0.0,,
34,104,,,,14.97918701171875,0.0
34,104,,,0.0,,
35,107,,,,14.979188919067383,0.0
35,107,,,0.0,,
36,110,,,,14.97918701171875,0.0
36,110,,,0.0,,
37,113,,,,14.97918701171875,0.0
37,113,,,0.0,,
38,116,,,,14.97918701171875,0.0
38,116,,,0.0,,
39,119,,,,14.979185104370117,0.0
39,119,,,0.0,,
40,122,,,,14.979185104370117,0.0
40,122,,,0.0,,
41,125,,,,14.979185104370117,0.0
41,125,,,0.0,,
42,128,,,,14.979185104370117,0.0
42,128,,,0.0,,
43,131,,,,14.979185104370117,0.0
43,131,,,0.0,,
44,134,,,,14.979185104370117,0.0
44,134,,,0.0,,
45,137,,,,14.979185104370117,0.0
45,137,,,0.0,,
46,140,,,,14.979185104370117,0.0
46,140,,,0.0,,
47,143,,,,14.979185104370117,0.0
47,143,,,0.0,,
48,146,,,,14.979185104370117,0.0
48,146,,,0.0,,
49,149,,,,14.979185104370117,0.0
49,149,,,0.0,,
50,152,,,,14.979185104370117,0.0
50,152,,,0.0,,
51,155,,,,14.979185104370117,0.0
51,155,,,0.0,,
52,158,,,,14.979185104370117,0.0
52,158,,,0.0,,
53,161,,,,14.979185104370117,0.0
53,161,,,0.0,,
54,164,,,,14.979185104370117,0.0
54,164,,,0.0,,
55,167,,,,14.979185104370117,0.0
55,167,,,0.0,,
56,170,,,,14.979185104370117,0.0
56,170,,,0.0,,
57,173,,,,14.979185104370117,0.0
57,173,,,0.0,,
58,176,,,,14.979185104370117,0.0
58,176,,,0.0,,
59,179,,,,14.979185104370117,0.0
59,179,,,0.0,,
60,182,,,,14.979185104370117,0.0
60,182,,,0.0,,
61,185,,,,14.979185104370117,0.0
61,185,,,0.0,,
62,188,,,,14.979185104370117,0.0
62,188,,,0.0,,
63,191,,,,14.979185104370117,0.0
63,191,,,0.0,,
64,194,,,,14.979185104370117,0.0
64,194,,,0.0,,
65,197,,,,14.979185104370117,0.0
65,197,,,0.0,,
66,200,,,,14.979185104370117,0.0
66,200,,,0.0,,
67,203,,,,14.979185104370117,0.0
67,203,,,0.0,,
68,206,,,,14.979185104370117,0.0
68,206,,,0.0,,
69,209,,,,14.979185104370117,0.0
69,209,,,0.0,,
70,212,,,,14.979185104370117,0.0
70,212,,,0.0,,
71,215,,,,14.979185104370117,0.0
71,215,,,0.0,,
72,218,,,,14.979185104370117,0.0
72,218,,,0.0,,
73,221,,,,14.979185104370117,0.0
73,221,,,0.0,,
74,224,,,,14.979185104370117,0.0
74,224,,,0.0,,
75,227,,,,14.979185104370117,0.0
75,227,,,0.0,,
76,230,,,,14.979185104370117,0.0
76,230,,,0.0,,
77,233,,,,14.979185104370117,0.0
77,233,,,0.0,,
78,236,,,,14.979185104370117,0.0
78,236,,,0.0,,
79,239,,,,14.979185104370117,0.0
79,239,,,0.0,,
80,242,,,,14.979185104370117,0.0
80,242,,,0.0,,
81,245,,,,14.979185104370117,0.0
81,245,,,0.0,,
82,248,,,,14.979185104370117,0.0
82,248,,,0.0,,
83,251,,,,14.979185104370117,0.0
83,251,,,0.0,,
84,254,,,,14.979185104370117,0.0
84,254,,,0.0,,
85,257,,,,14.979185104370117,0.0
85,257,,,0.0,,
86,260,,,,14.979185104370117,0.0
86,260,,,0.0,,
87,263,,,,14.979185104370117,0.0
87,263,,,0.0,,
88,266,,,,14.979185104370117,0.0
88,266,,,0.0,,
89,269,,,,14.979185104370117,0.0
89,269,,,0.0,,
90,272,,,,14.979185104370117,0.0
90,272,,,0.0,,
91,275,,,,14.979185104370117,0.0
91,275,,,0.0,,
92,278,,,,14.979185104370117,0.0
92,278,,,0.0,,
93,281,,,,14.979185104370117,0.0
93,281,,,0.0,,
94,284,,,,14.979185104370117,0.0
94,284,,,0.0,,
95,287,,,,14.979185104370117,0.0
95,287,,,0.0,,
96,290,,,,14.979185104370117,0.0
96,290,,,0.0,,
97,293,,,,14.979185104370117,0.0
97,293,,,0.0,,
98,296,,,,14.979185104370117,0.0
98,296,,,0.0,,
99,299,,,,14.979185104370117,0.0
99,299,,,0.0,,
100,302,,,,14.979185104370117,0.0
100,302,,,0.0,,
101,305,,,,14.979185104370117,0.0
101,305,,,0.0,,
102,308,,,,14.979185104370117,0.0
102,308,,,0.0,,
103,311,,,,14.979185104370117,0.0
103,311,,,0.0,,
104,314,,,,14.979185104370117,0.0
104,314,,,0.0,,
105,317,,,,14.979185104370117,0.0
105,317,,,0.0,,
106,320,,,,14.979185104370117,0.0
106,320,,,0.0,,
107,321,19.531394958496094,0.0018133664270862937,,,
