step,val_mse,val_regret,epoch,train_loss,test_mse,test_regret
0,125.25419616699219,20.831945419311523,0,,,
24,124.57052612304688,20.69454574584961,0,,,
24,,,0,136.7452392578125,,
49,123.8967056274414,20.405805587768555,1,,,
49,,,1,135.97720336914062,,
74,123.23623657226562,19.895654678344727,2,,,
74,,,2,135.209716796875,,
99,122.57139587402344,19.74138641357422,3,,,
99,,,3,134.46080017089844,,
124,121.92703247070312,19.40241241455078,4,,,
124,,,4,133.70555114746094,,
149,121.26795196533203,18.843666076660156,5,,,
149,,,5,132.96353149414062,,
174,120.62315368652344,17.75708770751953,6,,,
174,,,6,132.2218017578125,,
199,119.98107147216797,17.679481506347656,7,,,
199,,,7,131.4833221435547,,
224,119.34681701660156,17.48041343688965,8,,,
224,,,8,130.75106811523438,,
249,118.70856475830078,17.515012741088867,9,,,
249,,,9,130.03192138671875,,
274,118.08283996582031,17.002979278564453,10,,,
274,,,10,129.29881286621094,,
299,117.44869995117188,16.58550453186035,11,,,
299,,,11,128.5825653076172,,
324,116.82799530029297,15.601397514343262,12,,,
324,,,12,127.86802673339844,,
349,116.20911407470703,15.601397514343262,13,,,
349,,,13,127.15865325927734,,
374,115.5897445678711,15.353341102600098,14,,,
374,,,14,126.45246124267578,,
399,114.97245025634766,15.042713165283203,15,,,
399,,,15,125.75386047363281,,
424,114.36404418945312,14.489156723022461,16,,,
424,,,16,125.05117797851562,,
449,113.75863647460938,14.336844444274902,17,,,
449,,,17,124.36552429199219,,
474,113.15384674072266,13.646222114562988,18,,,
474,,,18,123.6712417602539,,
499,112.55614471435547,13.280033111572266,19,,,
499,,,19,122.98904418945312,,
524,111.95696258544922,13.340907096862793,20,,,
524,,,20,122.30677032470703,,
549,111.37033081054688,13.063603401184082,21,,,
549,,,21,121.63223266601562,,
574,110.7757339477539,12.941869735717773,22,,,
574,,,22,120.95587158203125,,
599,110.19263458251953,12.6783447265625,23,,,
599,,,23,120.29048156738281,,
624,109.6110610961914,12.119168281555176,24,,,
624,,,24,119.62401580810547,,
649,109.03612518310547,11.692953109741211,25,,,
649,,,25,118.96224975585938,,
674,108.44744110107422,11.588919639587402,26,,,
674,,,26,118.31752014160156,,
699,107.87671661376953,11.422650337219238,27,,,
699,,,27,117.65592956542969,,
724,107.31585693359375,11.069128036499023,28,,,
724,,,28,117.00487518310547,,
749,106.74681854248047,10.3782377243042,29,,,
749,,,29,116.36286926269531,,
774,106.18902587890625,10.379608154296875,30,,,
774,,,30,115.71976470947266,,
799,105.62621307373047,10.358999252319336,31,,,
799,,,31,115.08949279785156,,
824,105.06451416015625,10.337119102478027,32,,,
824,,,32,114.45193481445312,,
849,104.51148223876953,10.346378326416016,33,,,
849,,,33,113.82785034179688,,
874,103.96990966796875,10.260272026062012,34,,,
874,,,34,113.19567108154297,,
899,103.4286117553711,10.368025779724121,35,,,
899,,,35,112.57482147216797,,
924,102.87710571289062,10.233299255371094,36,,,
924,,,36,111.96574401855469,,
949,102.33317565917969,10.165345191955566,37,,,
949,,,37,111.35059356689453,,
974,101.79010009765625,10.103301048278809,38,,,
974,,,38,110.73526000976562,,
999,101.26602172851562,10.117532730102539,39,,,
999,,,39,110.13179016113281,,
1024,100.72754669189453,10.0615816116333,40,,,
1024,,,40,109.52998352050781,,
1049,100.19973754882812,10.156699180603027,41,,,
1049,,,41,108.9269790649414,,
1074,99.67615509033203,10.016115188598633,42,,,
1074,,,42,108.33102416992188,,
1099,99.15460968017578,9.760830879211426,43,,,
1099,,,43,107.7387466430664,,
1124,98.63311767578125,9.701416969299316,44,,,
1124,,,44,107.15035247802734,,
1149,98.11630249023438,9.432557106018066,45,,,
1149,,,45,106.5636978149414,,
1174,97.601318359375,9.44670581817627,46,,,
1174,,,46,105.98290252685547,,
1199,97.0892562866211,9.557748794555664,47,,,
1199,,,47,105.40458679199219,,
1224,96.58067321777344,9.557748794555664,48,,,
1224,,,48,104.8274154663086,,
1249,96.07632446289062,9.557748794555664,49,,,
1249,,,49,104.2577133178711,,
1274,95.81961059570312,9.557748794555664,50,,,
1274,,,50,103.82459259033203,,
1299,95.57398223876953,9.557748794555664,51,,,
1299,,,51,103.53868103027344,,
1324,95.32491302490234,9.318534851074219,52,,,
1324,,,52,103.25454711914062,,
1349,95.0732421875,9.318534851074219,53,,,
1349,,,53,102.97396850585938,,
1374,94.82412719726562,9.318534851074219,54,,,
1374,,,54,102.69087982177734,,
1399,94.5737533569336,9.318534851074219,55,,,
1399,,,55,102.40971374511719,,
1424,94.32551574707031,9.318534851074219,56,,,
1424,,,56,102.12921142578125,,
1449,94.20053100585938,9.318534851074219,57,,,
1449,,,57,101.91572570800781,,
1474,94.0772476196289,9.293949127197266,58,,,
1474,,,58,101.77503967285156,,
1499,93.95259094238281,9.293949127197266,59,,,
1499,,,59,101.63556671142578,,
1524,93.82794952392578,9.245223045349121,60,,,
1524,,,60,101.49557495117188,,
1549,93.70389556884766,9.139720916748047,61,,,
1549,,,61,101.3557357788086,,
1574,93.58110046386719,9.139720916748047,62,,,
1574,,,62,101.21546936035156,,
1599,93.45635986328125,9.139720916748047,63,,,
1599,,,63,101.07630920410156,,
1624,93.3323745727539,9.118315696716309,64,,,
1624,,,64,100.93754577636719,,
1649,93.20806884765625,9.118315696716309,65,,,
1649,,,65,100.7967758178711,,
1674,93.08493041992188,9.030335426330566,66,,,
1674,,,66,100.65704345703125,,
1699,92.96098327636719,9.030335426330566,67,,,
1699,,,67,100.51802062988281,,
1724,92.8366470336914,8.967066764831543,68,,,
1724,,,68,100.37905883789062,,
1749,92.71016693115234,8.851363182067871,69,,,
1749,,,69,100.24017333984375,,
1774,92.58873748779297,8.882909774780273,70,,,
1774,,,70,100.10017395019531,,
1799,92.46713256835938,8.887835502624512,71,,,
1799,,,71,99.96041107177734,,
1824,92.34190368652344,8.710415840148926,72,,,
1824,,,72,99.82267761230469,,
1849,92.2179946899414,8.710415840148926,73,,,
1849,,,73,99.68286895751953,,
1874,92.09461975097656,8.710415840148926,74,,,
1874,,,74,99.5448989868164,,
1899,91.97171783447266,8.710415840148926,75,,,
1899,,,75,99.4050064086914,,
1924,91.8473892211914,8.710415840148926,76,,,
1924,,,76,99.26704406738281,,
1949,91.78607177734375,8.710415840148926,77,,,
1949,,,77,99.16146850585938,,
1974,91.724365234375,8.710415840148926,78,,,
1974,,,78,99.09184265136719,,
1999,91.66354370117188,8.710415840148926,79,,,
1999,,,79,99.02253723144531,,
2024,91.6017074584961,8.710415840148926,80,,,
2024,,,80,98.95330047607422,,
2049,91.5703125,8.710415840148926,81,,,
2049,,,81,98.90087127685547,,
2074,91.53985595703125,8.710415840148926,82,,,
2074,,,82,98.86575317382812,,
2075,,,83,,101.72904205322266,8.5408935546875
