step,val_regret,epoch,val_mse,train_loss,test_regret,test_mse
0,18.77544403076172,0,129.54644775390625,,,
24,18.653949737548828,0,128.8358917236328,,,
24,,0,,132.92822265625,,
49,18.086824417114258,1,128.14508056640625,,,
49,,1,,132.2069854736328,,
74,17.852977752685547,2,127.45235443115234,,,
74,,2,,131.4939422607422,,
99,17.540626525878906,3,126.77194213867188,,,
99,,3,,130.7767333984375,,
124,17.362483978271484,4,126.08568572998047,,,
124,,4,,130.06900024414062,,
149,17.36855697631836,5,125.39781951904297,,,
149,,5,,129.3650665283203,,
174,17.29600715637207,6,124.72784423828125,,,
174,,6,,128.65560913085938,,
199,16.91695213317871,7,124.04876708984375,,,
199,,7,,127.96300506591797,,
224,16.572921752929688,8,123.37484741210938,,,
224,,8,,127.26622772216797,,
249,16.790189743041992,9,122.71348571777344,,,
249,,9,,126.56948852539062,,
274,16.722782135009766,10,122.04415893554688,,,
274,,10,,125.88627624511719,,
299,16.026031494140625,11,121.38050079345703,,,
299,,11,,125.20472717285156,,
324,15.705428123474121,12,120.7259292602539,,,
324,,12,,124.51851654052734,,
349,15.47722053527832,13,120.07599639892578,,,
349,,13,,123.84748840332031,,
374,15.298053741455078,14,119.43911743164062,,,
374,,14,,123.1713638305664,,
399,15.148205757141113,15,118.79705810546875,,,
399,,15,,122.5079116821289,,
424,14.749380111694336,16,118.15495300292969,,,
424,,16,,121.8497085571289,,
449,14.586195945739746,17,117.51813507080078,,,
449,,17,,121.19068145751953,,
474,14.334972381591797,18,116.89530944824219,,,
474,,18,,120.53137969970703,,
499,13.447371482849121,19,116.24787902832031,,,
499,,19,,119.8941421508789,,
524,12.967138290405273,20,115.63375854492188,,,
524,,20,,119.2352523803711,,
549,12.70753288269043,21,115.01866149902344,,,
549,,21,,118.59265899658203,,
574,12.215651512145996,22,114.39118194580078,,,
574,,22,,117.9634017944336,,
599,12.053837776184082,23,113.78673553466797,,,
599,,23,,117.31686401367188,,
624,11.767033576965332,24,113.17434692382812,,,
624,,24,,116.69036865234375,,
649,11.03386116027832,25,112.57164001464844,,,
649,,25,,116.06216430664062,,
674,11.145637512207031,26,111.96859741210938,,,
674,,26,,115.43980407714844,,
699,10.838308334350586,27,111.369140625,,,
699,,27,,114.8175277709961,,
724,10.553264617919922,28,110.77423858642578,,,
724,,28,,114.19953918457031,,
749,10.292230606079102,29,110.17211151123047,,,
749,,29,,113.59598541259766,,
774,10.178411483764648,30,109.59434509277344,,,
774,,30,,112.97600555419922,,
799,9.916085243225098,31,109.00359344482422,,,
799,,31,,112.37704467773438,,
824,9.821975708007812,32,108.41790771484375,,,
824,,32,,111.77204132080078,,
849,9.652339935302734,33,107.84518432617188,,,
849,,33,,111.16988372802734,,
874,9.343995094299316,34,107.26544189453125,,,
874,,34,,110.57970428466797,,
899,9.242914199829102,35,106.69458770751953,,,
899,,35,,109.9878921508789,,
924,9.079448699951172,36,106.12568664550781,,,
