step,val_regret,epoch,val_mse,train_loss,test_regret,test_mse
0,25.19939613342285,0,152.02200317382812,,,
24,24.589094161987305,0,151.1478729248047,,,
24,,0,,136.5701141357422,,
49,23.830564498901367,1,150.29135131835938,,,
49,,1,,135.80621337890625,,
74,23.323657989501953,2,149.4263916015625,,,
74,,2,,135.04971313476562,,
99,21.999855041503906,3,148.56903076171875,,,
99,,3,,134.2957763671875,,
124,21.927104949951172,4,147.70523071289062,,,
124,,4,,133.545166015625,,
149,20.98147201538086,5,146.85003662109375,,,
149,,5,,132.8006134033203,,
174,19.948928833007812,6,146.00949096679688,,,
174,,6,,132.06427001953125,,
199,19.375690460205078,7,145.1753692626953,,,
199,,7,,131.3241729736328,,
224,18.347190856933594,8,144.3541717529297,,,
224,,8,,130.59547424316406,,
249,18.10107421875,9,143.5055694580078,,,
249,,9,,129.87303161621094,,
274,17.190824508666992,10,142.67770385742188,,,
274,,10,,129.1508331298828,,
299,16.303707122802734,11,141.86920166015625,,,
299,,11,,128.43116760253906,,
324,15.548288345336914,12,141.08045959472656,,,
324,,12,,127.71327209472656,,
349,14.861581802368164,13,140.2510986328125,,,
349,,13,,127.01378631591797,,
374,14.94262409210205,14,139.44728088378906,,,
374,,14,,126.3060531616211,,
399,14.639962196350098,15,138.65089416503906,,,
399,,15,,125.60909271240234,,
424,13.992156982421875,16,137.866943359375,,,
424,,16,,124.91155242919922,,
449,13.896066665649414,17,137.06674194335938,,,
449,,17,,124.22499084472656,,
474,13.360157012939453,18,136.2890625,,,
474,,18,,123.53779602050781,,
499,13.185985565185547,19,135.51585388183594,,,
499,,19,,122.86654663085938,,
524,12.916136741638184,20,134.7512969970703,,,
524,,20,,122.17745208740234,,
549,12.939261436462402,21,133.9771728515625,,,
549,,21,,121.5112533569336,,
574,12.550470352172852,22,133.2360382080078,,,
574,,22,,120.83744812011719,,
599,12.289142608642578,23,132.47604370117188,,,
599,,23,,120.17572021484375,,
624,12.289142608642578,24,131.70828247070312,,,
624,,24,,119.52474975585938,,
649,12.095292091369629,25,130.99099731445312,,,
649,,25,,118.86205291748047,,
674,11.608531951904297,26,130.24234008789062,,,
674,,26,,118.2099380493164,,
699,11.39661979675293,27,129.49801635742188,,,
699,,27,,117.56455993652344,,
724,11.305533409118652,28,128.76100158691406,,,
724,,28,,116.92102813720703,,
749,11.012126922607422,29,128.03280639648438,,,
749,,29,,116.27960968017578,,
774,10.790191650390625,30,127.30618286132812,,,
774,,30,,115.6470718383789,,
799,10.441664695739746,31,126.5965347290039,,,
799,,31,,115.01123809814453,,
824,10.440389633178711,32,125.8894271850586,,,
824,,32,,114.38406372070312,,
849,10.235427856445312,33,125.16889953613281,,,
849,,33,,113.76431274414062,,
874,10.164804458618164,34,124.46508026123047,,,
874,,34,,113.138916015625,,
899,9.92987060546875,35,123.75012969970703,,,
899,,35,,112.52478790283203,,
924,9.453638076782227,36,123.06609344482422,,,
924,,36,,111.90811157226562,,
949,9.390378952026367,37,122.3680191040039,,,
949,,37,,111.30016326904297,,
974,9.43054485321045,38,121.6806640625,,,
974,,38,,110.69157409667969,,
999,9.15563678741455,39,121.00328063964844,,,
999,,39,,110.08931732177734,,
1024,8.879426002502441,40,120.3121109008789,,,
1024,,40,,109.49308776855469,,
1049,8.947476387023926,41,119.63932800292969,,,
1049,,41,,108.89344024658203,,
1074,8.689120292663574,42,118.96780395507812,,,
1074,,42,,108.30360412597656,,
1099,8.675089836120605,43,118.29401397705078,,,
1099,,43,,107.71446228027344,,
1124,8.57726764678955,44,117.61993408203125,,,
1124,,44,,107.13018798828125,,
1149,8.512137413024902,45,116.9698257446289,,,
1149,,45,,106.54547882080078,,
1174,8.39277458190918,46,116.2881088256836,,,
1174,,46,,105.97343444824219,,
1199,8.286308288574219,47,115.6640853881836,,,
1199,,47,,105.38849639892578,,
1224,8.286308288574219,48,115.01140594482422,,,
1224,,48,,104.82335662841797,,
1249,8.233268737792969,49,114.3828125,,,
1249,,49,,104.2513198852539,,
1274,8.233268737792969,50,113.7483901977539,,,
1274,,50,,103.68545532226562,,
1299,7.919091701507568,51,113.08673858642578,,,
1299,,51,,103.12837219238281,,
1324,7.849578857421875,52,112.4554672241211,,,
1324,,52,,102.56562805175781,,
1349,7.849578857421875,53,111.82841491699219,,,
1349,,53,,102.00865173339844,,
1374,7.484542369842529,54,111.20773315429688,,,
1374,,54,,101.45641326904297,,
1399,7.525035381317139,55,110.57827758789062,,,
1399,,55,,100.90762329101562,,
1424,7.525035381317139,56,109.95500183105469,,,
1424,,56,,100.36503601074219,,
1449,7.525035381317139,57,109.32940673828125,,,
1449,,57,,99.81897735595703,,
1474,7.426585674285889,58,108.71842956542969,,,
1474,,58,,99.2807388305664,,
1499,7.306382656097412,59,108.11833190917969,,,
1499,,59,,98.73900604248047,,
1524,7.306382656097412,60,107.52025604248047,,,
1524,,60,,98.20420837402344,,
1549,7.306382656097412,61,106.91880798339844,,,
1549,,61,,97.67584991455078,,
1574,7.385709285736084,62,106.30298614501953,,,
1574,,62,,97.15025329589844,,
1599,7.385709285736084,63,105.70376586914062,,,
1599,,63,,96.62533569335938,,
1624,7.385709285736084,64,105.41348266601562,,,
1624,,64,,96.21739196777344,,
