epoch,step,test_mse,test_regret,train_loss,val_mse,val_regret
0,0,,,,16.65507698059082,0.08674729615449905
0,2,,,,16.262367248535156,0.042664241045713425
0,2,,,2102.745361328125,,
1,5,,,,16.193750381469727,0.0014021132374182343
1,5,,,183.28866577148438,,
2,8,,,,16.343463897705078,0.0021271007135510445
2,8,,,216.8451385498047,,
3,11,,,,16.57828712463379,0.0014021132374182343
3,11,,,198.73410034179688,,
4,14,,,,16.83920669555664,0.0
4,14,,,125.4180679321289,,
5,17,,,,17.061330795288086,0.0013757941778749228
5,17,,,51.5541877746582,,
6,20,,,,17.231685638427734,0.0013757941778749228
6,20,,,91.88677215576172,,
7,23,,,,17.342802047729492,0.0
7,23,,,78.38960266113281,,
8,26,,,,17.42201042175293,0.0
8,26,,,34.03467559814453,,
9,29,,,,17.453401565551758,0.0
9,29,,,40.05177307128906,,
10,32,,,,17.4802303314209,0.0
10,32,,,37.48310089111328,,
11,35,,,,17.500755310058594,0.0
11,35,,,27.222238540649414,,
12,38,,,,17.506614685058594,0.0
12,38,,,22.89133644104004,,
13,41,,,,17.503826141357422,0.0
13,41,,,14.65999984741211,,
14,44,,,,17.498212814331055,0.0
14,44,,,7.656886577606201,,
15,47,,,,17.491853713989258,0.0
15,47,,,5.398786544799805,,
16,50,,,,17.48818016052246,0.0
16,50,,,3.88862681388855,,
17,53,,,,17.4875431060791,0.0
17,53,,,3.6394927501678467,,
18,56,,,,17.487579345703125,0.0
18,56,,,3.284863233566284,,
19,59,,,,17.488353729248047,0.0
19,59,,,2.6391420364379883,,
20,62,,,,17.4891414642334,0.0
20,62,,,2.734161615371704,,
21,65,,,,17.488866806030273,0.0
21,65,,,2.2380967140197754,,
22,68,,,,17.488981246948242,0.0
22,68,,,2.4260995388031006,,
23,71,,,,17.488521575927734,0.0
23,71,,,2.2326931953430176,,
24,74,,,,17.48775291442871,0.0
24,74,,,2.3090460300445557,,
25,77,,,,17.48746681213379,0.0
25,77,,,2.2051215171813965,,
26,80,,,,17.487306594848633,0.0
26,80,,,2.252669334411621,,
27,83,,,,17.48709487915039,0.0
27,83,,,2.226609706878662,,
28,86,,,,17.486642837524414,0.0
28,86,,,2.1586735248565674,,
29,89,,,,17.486412048339844,0.0
29,89,,,2.1684353351593018,,
30,92,,,,17.48618507385254,0.0
30,92,,,2.156792640686035,,
31,95,,,,17.486055374145508,0.0
31,95,,,2.1610424518585205,,
32,98,,,,17.485803604125977,0.0
32,98,,,2.126732587814331,,
33,101,,,,17.485689163208008,0.0
33,101,,,2.118410110473633,,
34,104,,,,17.485593795776367,0.0
34,104,,,2.127647638320923,,
35,107,,,,17.48544692993164,0.0
35,107,,,2.1269314289093018,,
36,110,,,,17.485328674316406,0.0
36,110,,,2.1090314388275146,,
37,113,,,,17.485252380371094,0.0
37,113,,,2.1178781986236572,,
38,116,,,,17.485204696655273,0.0
38,116,,,2.1036276817321777,,
39,119,,,,17.485151290893555,0.0
39,119,,,2.1017541885375977,,
40,122,,,,17.485088348388672,0.0
40,122,,,2.1052770614624023,,
41,125,,,,17.485074996948242,0.0
41,125,,,2.1058197021484375,,
42,128,,,,17.485029220581055,0.0
42,128,,,2.1051828861236572,,
43,131,,,,17.485008239746094,0.0
43,131,,,2.1003291606903076,,
44,134,,,,17.484966278076172,0.0
44,134,,,2.101349115371704,,
45,137,,,,17.484956741333008,0.0
45,137,,,2.09415864944458,,
46,140,,,,17.484943389892578,0.0
46,140,,,2.0936777591705322,,
47,143,,,,17.484928131103516,0.0
47,143,,,2.0931966304779053,,
48,146,,,,17.484922409057617,0.0
48,146,,,2.0967159271240234,,
49,149,,,,17.484912872314453,0.0
49,149,,,2.0923068523406982,,
50,152,,,,17.48490333557129,0.0
50,152,,,2.092806100845337,,
51,155,,,,17.484893798828125,0.0
51,155,,,2.091702938079834,,
52,158,,,,17.484882354736328,0.0
52,158,,,2.0926830768585205,,
53,161,,,,17.48487663269043,0.0
53,161,,,2.091261386871338,,
54,164,,,,17.484872817993164,0.0
54,164,,,2.0911710262298584,,
55,167,,,,17.4848690032959,0.0
55,167,,,2.0914387702941895,,
56,170,,,,17.48486328125,0.0
56,170,,,2.091529369354248,,
57,173,,,,17.484859466552734,0.0
57,173,,,2.0907480716705322,,
58,176,,,,17.4848575592041,0.0
58,176,,,2.090653896331787,,
59,179,,,,17.484853744506836,0.0
59,179,,,2.090874671936035,,
60,182,,,,17.484853744506836,0.0
60,182,,,2.0907552242279053,,
61,185,,,,17.484851837158203,0.0
61,185,,,2.09045147895813,,
62,188,,,,17.484851837158203,0.0
62,188,,,2.0906178951263428,,
63,191,,,,17.484846115112305,0.0
63,191,,,2.0905020236968994,,
64,194,,,,17.48484992980957,0.0
64,194,,,2.0903573036193848,,
65,197,,,,17.48484992980957,0.0
65,197,,,2.0903754234313965,,
66,200,,,,17.484846115112305,0.0
66,200,,,2.090299367904663,,
67,203,,,,17.484846115112305,0.0
67,203,,,2.0902814865112305,,
68,206,,,,17.484846115112305,0.0
68,206,,,2.0902597904205322,,
69,209,,,,17.484846115112305,0.0
69,209,,,2.09025239944458,,
70,212,,,,17.484844207763672,0.0
70,212,,,2.09025239944458,,
71,215,,,,17.484844207763672,0.0
71,215,,,2.090259552001953,,
72,218,,,,17.484844207763672,0.0
72,218,,,2.0902633666992188,,
73,221,,,,17.484844207763672,0.0
73,221,,,2.0902199745178223,,
74,224,,,,17.484844207763672,0.0
74,224,,,2.0902161598205566,,
75,227,,,,17.484844207763672,0.0
75,227,,,2.0902271270751953,,
76,230,,,,17.484844207763672,0.0
76,230,,,2.090219736099243,,
77,233,,,,17.484844207763672,0.0
77,233,,,2.0902090072631836,,
78,236,,,,17.484844207763672,0.0
78,236,,,2.0901947021484375,,
79,239,,,,17.484844207763672,0.0
79,239,,,2.0901947021484375,,
80,242,,,,17.484844207763672,0.0
80,242,,,2.0901944637298584,,
81,245,,,,17.48484230041504,0.0
81,245,,,2.0901947021484375,,
82,248,,,,17.48484230041504,0.0
82,248,,,2.090183734893799,,
83,251,,,,17.48484230041504,0.0
83,251,,,2.090190887451172,,
84,254,,,,17.48484230041504,0.0
84,254,,,2.090190887451172,,
85,257,,,,17.48484230041504,0.0
85,257,,,2.090190887451172,,
86,260,,,,17.48484230041504,0.0
86,260,,,2.0901873111724854,,
87,263,,,,17.48484230041504,0.0
87,263,,,2.0901873111724854,,
88,266,,,,17.48484230041504,0.0
88,266,,,2.090183734893799,,
89,269,,,,17.48484230041504,0.0
89,269,,,2.0901873111724854,,
90,272,,,,17.48484230041504,0.0
90,272,,,2.0901873111724854,,
91,275,,,,17.48484230041504,0.0
91,275,,,2.090190887451172,,
92,278,,,,17.484844207763672,0.0
92,278,,,2.090190887451172,,
93,281,,,,17.484844207763672,0.0
93,281,,,2.090183734893799,,
94,284,,,,17.484844207763672,0.0
94,284,,,2.090183734893799,,
95,287,,,,17.484844207763672,0.0
95,287,,,2.0901763439178467,,
96,290,,,,17.484844207763672,0.0
96,290,,,2.090183734893799,,
97,293,,,,17.484844207763672,0.0
97,293,,,2.090183734893799,,
98,296,,,,17.484844207763672,0.0
98,296,,,2.090183734893799,,
99,299,,,,17.484844207763672,0.0
99,299,,,2.090183734893799,,
100,302,,,,17.484844207763672,0.0
100,302,,,2.090183734893799,,
101,305,,,,17.484844207763672,0.0
101,305,,,2.090183734893799,,
102,308,,,,17.484844207763672,0.0
102,308,,,2.090183734893799,,
103,311,,,,17.484844207763672,0.0
103,311,,,2.090183734893799,,
104,314,,,,17.484844207763672,0.0
104,314,,,2.090183734893799,,
105,315,16.050933837890625,0.0,,,
