step,val_regret,epoch,val_mse,train_loss,test_regret,test_mse
0,17.890649795532227,0,128.76870727539062,,,
24,17.515705108642578,0,128.06356811523438,,,
24,,0,,141.95962524414062,,
49,16.721940994262695,1,127.34416961669922,,,
49,,1,,141.1483917236328,,
74,16.397781372070312,2,126.6422348022461,,,
74,,2,,140.3389434814453,,
99,15.889507293701172,3,125.9308090209961,,,
99,,3,,139.53578186035156,,
124,15.889507293701172,4,125.22313690185547,,,
124,,4,,138.738037109375,,
149,15.722770690917969,5,124.51968383789062,,,
149,,5,,137.9464111328125,,
174,15.215933799743652,6,123.8296127319336,,,
174,,6,,137.15371704101562,,
199,14.92361831665039,7,123.1373062133789,,,
199,,7,,136.37149047851562,,
224,14.819440841674805,8,122.46139526367188,,,
224,,8,,135.59034729003906,,
249,14.135824203491211,9,121.77161407470703,,,
249,,9,,134.81674194335938,,
274,13.8353853225708,10,121.0940933227539,,,
274,,10,,134.0465087890625,,
299,13.576977729797363,11,120.4231948852539,,,
299,,11,,133.28375244140625,,
324,13.533708572387695,12,119.746826171875,,,
324,,12,,132.52342224121094,,
349,13.50787353515625,13,119.0807113647461,,,
349,,13,,131.76934814453125,,
374,12.746240615844727,14,118.43607330322266,,,
374,,14,,131.0214080810547,,
399,12.404651641845703,15,117.7752456665039,,,
399,,15,,130.27757263183594,,
424,12.306291580200195,16,117.12004089355469,,,
424,,16,,129.54190063476562,,
449,11.97110366821289,17,116.4672622680664,,,
449,,17,,128.8074188232422,,
474,11.982083320617676,18,115.821044921875,,,
474,,18,,128.08297729492188,,
499,11.982083320617676,19,115.18359375,,,
499,,19,,127.34738159179688,,
524,11.767681121826172,20,114.55528259277344,,,
524,,20,,126.63493347167969,,
549,11.767681121826172,21,113.9135971069336,,,
549,,21,,125.9286117553711,,
574,11.63165283203125,22,113.30274200439453,,,
574,,22,,125.20306396484375,,
599,11.434374809265137,23,112.67124938964844,,,
599,,23,,124.51087188720703,,
624,11.403353691101074,24,112.06099700927734,,,
624,,24,,123.8039779663086,,
649,11.383526802062988,25,111.44792938232422,,,
649,,25,,123.10816192626953,,
674,11.426931381225586,26,110.82717895507812,,,
674,,26,,122.42142486572266,,
699,10.956364631652832,27,110.22364044189453,,,
699,,27,,121.72814178466797,,
724,10.859077453613281,28,109.61708068847656,,,
724,,28,,121.04475402832031,,
749,10.98379135131836,29,109.02180480957031,,,
749,,29,,120.36641693115234,,
774,10.610565185546875,30,108.4147720336914,,,
774,,30,,119.69175720214844,,
799,9.996161460876465,31,107.82353210449219,,,
799,,31,,119.0184555053711,,
824,9.882411003112793,32,107.24324035644531,,,
824,,32,,118.35118103027344,,
849,9.923474311828613,33,106.64844512939453,,,
849,,33,,117.6954116821289,,
874,9.759625434875488,34,106.06491088867188,,,
874,,34,,117.03101348876953,,
899,9.759625434875488,35,105.49156188964844,,,
899,,35,,116.3736343383789,,
