val_regret,val_mse,epoch,step,train_loss,test_regret,test_mse
17.922649383544922,147.76834106445312,0,0,,,
17.39565658569336,146.955322265625,0,24,,,
,,0,24,132.54319763183594,,
17.12449836730957,146.13670349121094,1,49,,,
,,1,49,131.8038330078125,,
16.702478408813477,145.32057189941406,2,74,,,
,,2,74,131.0781707763672,,
16.594879150390625,144.49456787109375,3,99,,,
,,3,99,130.36305236816406,,
16.70126724243164,143.71572875976562,4,124,,,
,,4,124,129.64535522460938,,
16.027576446533203,142.91485595703125,5,149,,,
,,5,149,128.93719482421875,,
16.010236740112305,142.12380981445312,6,174,,,
,,6,174,128.2306365966797,,
15.979008674621582,141.35475158691406,7,199,,,
,,7,199,127.53438568115234,,
15.801313400268555,140.5653839111328,8,224,,,
,,8,224,126.84011840820312,,
15.585402488708496,139.7857666015625,9,249,,,
,,9,249,126.1463851928711,,
15.320429801940918,139.03271484375,10,274,,,
,,10,274,125.46133422851562,,
14.983962059020996,138.27169799804688,11,299,,,
,,11,299,124.77973937988281,,
14.728337287902832,137.4822235107422,12,324,,,
,,12,324,124.10839080810547,,
14.429329872131348,136.7431182861328,13,349,,,
,,13,349,123.42695617675781,,
14.131972312927246,135.99221801757812,14,374,,,
,,14,374,122.75934600830078,,
13.690996170043945,135.23373413085938,15,399,,,
,,15,399,122.09574127197266,,
,,16,424,,13.595229148864746,124.13784790039062
