val_regret,val_mse,epoch,step,train_loss
22.387670516967773,150.71189880371094,0,0,
22.164846420288086,149.80624389648438,0,24,
,,0,24,140.16258239746094
21.867809295654297,148.8953857421875,1,49,
,,1,49,139.37197875976562
21.781965255737305,148.01171875,2,74,
,,2,74,138.57118225097656
21.60704803466797,147.12400817871094,3,99,
,,3,99,137.78549194335938
21.15670394897461,146.2417449951172,4,124,
,,4,124,136.9995574951172
20.536516189575195,145.37368774414062,5,149,
,,5,149,136.21981811523438
20.188629150390625,144.51513671875,6,174,
,,6,174,135.44264221191406
20.256284713745117,143.64419555664062,7,199,
,,7,199,134.6774444580078
20.207870483398438,142.79978942871094,8,224,
,,8,224,133.90707397460938
19.929908752441406,141.93348693847656,9,249,
,,9,249,133.1546630859375
19.562040328979492,141.10147094726562,10,274,
,,10,274,132.3936004638672
19.31827735900879,140.27056884765625,11,299,
,,11,299,131.6465606689453
18.49515724182129,139.43270874023438,12,324,
,,12,324,130.90484619140625
18.38102912902832,138.6015625,13,349,
,,13,349,130.16513061523438
17.71942710876465,137.78904724121094,14,374,
,,14,374,129.42950439453125
17.3690242767334,136.96315002441406,15,399,
,,15,399,128.70391845703125
17.240137100219727,136.15670776367188,16,424,
,,16,424,127.97515869140625
17.182880401611328,135.34889221191406,17,449,
,,17,449,127.2587890625
16.876989364624023,134.56817626953125,18,474,
,,18,474,126.5357437133789
16.858718872070312,133.7763214111328,19,499,
,,19,499,125.8285140991211
16.1949520111084,132.9765167236328,20,524,
,,20,524,125.1285171508789
15.912598609924316,132.19647216796875,21,549,
,,21,549,124.42086791992188
15.370416641235352,131.4150848388672,22,574,
,,22,574,123.7273178100586
14.586085319519043,130.64675903320312,23,599,
,,23,599,123.03424072265625
14.337455749511719,129.89109802246094,24,624,
,,24,624,122.34183502197266
14.161280632019043,129.1273193359375,25,649,
,,25,649,121.66200256347656
14.15343952178955,128.36402893066406,26,674,
,,26,674,120.98637390136719
13.755095481872559,127.61665344238281,27,699,
,,27,699,120.30216979980469
13.834339141845703,126.87141418457031,28,724,
,,28,724,119.6340560913086
13.775422096252441,126.1263656616211,29,749,
,,29,749,118.96710968017578
13.11513900756836,125.37071990966797,30,774,
,,30,774,118.3095474243164
12.753386497497559,124.65526580810547,31,799,
,,31,799,117.64170837402344
12.169563293457031,123.9063949584961,32,824,
,,32,824,116.99810791015625
11.92742919921875,123.18132781982422,33,849,
,,33,849,116.3434066772461
11.25112533569336,122.4833755493164,34,874,
,,34,874,115.6892318725586
11.027090072631836,121.7587661743164,35,899,
,,35,899,115.05601501464844
10.58403205871582,121.05430603027344,36,924,
,,36,924,114.4115982055664
10.460731506347656,120.34595489501953,37,949,
,,37,949,113.77838897705078
10.106151580810547,119.63674926757812,38,974,
,,38,974,113.15005493164062
9.942508697509766,118.94400024414062,39,999,
,,39,999,112.51943969726562
9.79251480102539,118.24755859375,40,1024,
,,40,1024,111.89403533935547
9.74323558807373,117.56771850585938,41,1049,
,,41,1049,111.27336120605469
9.49821662902832,116.88241577148438,42,1074,
,,42,1074,110.66039276123047
9.298139572143555,116.1813735961914,43,1099,
,,43,1099,110.05096435546875
9.257718086242676,115.51008605957031,44,1124,
,,44,1124,109.4345474243164
9.252215385437012,114.83981323242188,45,1149,
,,45,1149,108.82801055908203
9.341282844543457,114.17343139648438,46,1174,
,,46,1174,108.22732543945312
9.44607162475586,113.50341796875,47,1199,
,,47,1199,107.63036346435547
9.372881889343262,112.8504409790039,48,1224,
,,48,1224,107.03125762939453
9.280110359191895,112.19500732421875,49,1249,
,,49,1249,106.44193267822266
9.262166976928711,111.86400604248047,50,1274,
,,50,1274,105.99600219726562
9.08249282836914,111.54338836669922,51,1299,
,,51,1299,105.69984436035156
9.1887788772583,111.21530151367188,52,1324,
,,52,1324,105.40980529785156
9.1887788772583,110.89354705810547,53,1349,
,,53,1349,105.11592102050781
8.937250137329102,110.56843566894531,54,1374,
,,54,1374,104.82703399658203
8.937250137329102,110.24029541015625,55,1399,
,,55,1399,104.53617095947266
8.937250137329102,109.92760467529297,56,1424,
,,56,1424,104.24238586425781
8.937250137329102,109.59559631347656,57,1449,
,,57,1449,103.95716094970703
8.863243103027344,109.28085327148438,58,1474,
,,58,1474,103.66402435302734
8.970142364501953,108.95789337158203,59,1499,
,,59,1499,103.37816619873047
8.881516456604004,108.64028930664062,60,1524,
,,60,1524,103.08808898925781
8.755924224853516,108.32341766357422,61,1549,
,,61,1549,102.8021011352539
8.684961318969727,108.0055923461914,62,1574,
,,62,1574,102.5156021118164
8.652599334716797,107.67668151855469,63,1599,
,,63,1599,102.23257446289062
8.597496032714844,107.3636703491211,64,1624,
,,64,1624,101.94401550292969
8.529497146606445,107.0544662475586,65,1649,
,,65,1649,101.65946960449219
8.55906867980957,106.73181915283203,66,1674,
,,66,1674,101.37799072265625
8.427203178405762,106.41792297363281,67,1699,
,,67,1699,101.09248352050781
8.427203178405762,106.10920715332031,68,1724,
,,68,1724,100.81059265136719
8.427203178405762,105.79185485839844,69,1749,
,,69,1749,100.52981567382812
8.427203178405762,105.48388671875,70,1774,
,,70,1774,100.24779510498047
8.323868751525879,105.17436218261719,71,1799,
,,71,1799,99.96711730957031
8.283342361450195,104.85560607910156,72,1824,
,,72,1824,99.691162109375
8.283342361450195,104.549560546875,73,1849,
,,73,1849,99.40862274169922
8.225286483764648,104.23963165283203,74,1874,
,,74,1874,99.13208770751953
8.225286483764648,103.93347930908203,75,1899,
,,75,1899,98.85220336914062
8.064432144165039,103.63232421875,76,1924,
,,76,1924,98.57459259033203
