epoch,step,train_loss,val_mse,val_regret
0,0,,14.042081832885742,0.03843631595373154
0,2,,13.7117280960083,0.011594663374125957
0,2,0.2988571524620056,,
1,5,,13.586935043334961,0.0013944677775725722
1,5,0.29823625087738037,,
2,8,,13.687788009643555,0.004588782321661711
2,8,0.2983313798904419,,
3,11,,13.777376174926758,0.0031943146605044603
3,11,0.29829123616218567,,
4,14,,13.854238510131836,0.004283202812075615
4,14,0.2982015609741211,,
5,17,,13.825845718383789,0.00971049815416336
5,17,0.298175185918808,,
6,20,,13.757368087768555,0.008515236899256706
6,20,0.29817116260528564,,
7,23,,13.68541145324707,0.0026084883138537407
7,23,0.29816243052482605,,
8,26,,13.658284187316895,0.0006003271555528045
8,26,0.29814812541007996,,
9,29,,13.667791366577148,0.0006003271555528045
9,29,0.2981390953063965,,
10,32,,13.696670532226562,0.001251564477570355
10,32,0.29813700914382935,,
11,35,,13.729960441589355,0.0
11,35,0.2981349229812622,,
12,38,,13.755281448364258,0.0
12,38,0.29813382029533386,,
13,41,,13.762460708618164,0.0
13,41,0.2981330156326294,,
14,44,,13.748181343078613,0.0
14,44,0.29813116788864136,,
15,47,,13.727005004882812,0.0
15,47,0.2981294095516205,,
16,50,,13.719038009643555,0.0
16,50,0.29812881350517273,,
17,53,,13.715188980102539,0.0
17,53,0.2981286644935608,,
18,56,,13.713659286499023,0.0
18,56,0.2981284558773041,,
19,59,,13.713388442993164,0.0
19,59,0.298128217458725,,
20,62,,13.713773727416992,0.0
20,62,0.29812800884246826,,
21,65,,13.714970588684082,0.0
21,65,0.2981278598308563,,
22,68,,13.716794967651367,0.0
22,68,0.29812780022621155,,
23,71,,13.719329833984375,0.0
23,71,0.2981277108192444,,
